project_title,description,category,sensors,actuators,controllers,components
Smart Irrigation,automatic watering using soil moisture variation 401,IoT,Temperature Sensor|Gas Sensor,None,Arduino,Temperature Sensor|Gas Sensor|Arduino
Smart Farming,monitor agriculture conditions variation 402,IoT,IR Sensor|Ultrasonic Sensor,LED,ESP32,IR Sensor|Ultrasonic Sensor|LED|ESP32
Air Quality Monitoring,monitor pollution levels variation 403,IoT,Ultrasonic Sensor|Gas Sensor,None,ESP8266,Ultrasonic Sensor|Gas Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 404,IoT,Gas Sensor,None,ESP32,Gas Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 405,IoT,Ultrasonic Sensor,Relay,ESP32,Ultrasonic Sensor|Relay|ESP32
Smart Lighting,automatic lighting control variation 406,IoT,Flame Sensor|Temperature Sensor,Motor Driver,ESP8266,Flame Sensor|Temperature Sensor|Motor Driver|ESP8266
Smart Lighting,automatic lighting control variation 407,IoT,Flame Sensor|Humidity Sensor,None,ESP32,Flame Sensor|Humidity Sensor|ESP32
Smart Security System,detect intruders using sensors variation 408,IoT,Temperature Sensor|Soil Sensor,None,ESP32,Temperature Sensor|Soil Sensor|ESP32
Home Automation,control home devices using wifi variation 409,IoT,Motion Sensor|Soil Sensor,LED,ESP32,Motion Sensor|Soil Sensor|LED|ESP32
Home Automation,control home devices using wifi variation 410,IoT,Temperature Sensor,Water Pump,Arduino,Temperature Sensor|Water Pump|Arduino
Fire Detection,detect fire using flame sensor variation 411,IoT,LDR Sensor,LED,ESP32,LDR Sensor|LED|ESP32
Home Automation,control home devices using wifi variation 412,IoT,Temperature Sensor,Buzzer,Arduino,Temperature Sensor|Buzzer|Arduino
Air Quality Monitoring,monitor pollution levels variation 413,IoT,Soil Sensor|IR Sensor,None,ESP32,Soil Sensor|IR Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 414,IoT,Ultrasonic Sensor|Humidity Sensor,LED,ESP32,Ultrasonic Sensor|Humidity Sensor|LED|ESP32
Smart Security System,detect intruders using sensors variation 415,IoT,Gas Sensor|LDR Sensor,Servo Motor,ESP32,Gas Sensor|LDR Sensor|Servo Motor|ESP32
Weather Monitoring,monitor temperature and humidity variation 416,IoT,IR Sensor,LED,ESP8266,IR Sensor|LED|ESP8266
Weather Monitoring,monitor temperature and humidity variation 417,IoT,IR Sensor|Humidity Sensor,LED,ESP32,IR Sensor|Humidity Sensor|LED|ESP32
Smart Parking,detect parking availability variation 418,IoT,IR Sensor|Soil Sensor,None,ESP8266,IR Sensor|Soil Sensor|ESP8266
Smart Lighting,automatic lighting control variation 419,IoT,Soil Sensor,Motor Driver,Arduino,Soil Sensor|Motor Driver|Arduino
Smart Irrigation,automatic watering using soil moisture variation 420,IoT,Flame Sensor|Motion Sensor,Valve,ESP8266,Flame Sensor|Motion Sensor|Valve|ESP8266
Air Quality Monitoring,monitor pollution levels variation 421,IoT,Ultrasonic Sensor|Flame Sensor,None,ESP32,Ultrasonic Sensor|Flame Sensor|ESP32
Smart Security System,detect intruders using sensors variation 422,IoT,Soil Sensor|LDR Sensor,None,ESP8266,Soil Sensor|LDR Sensor|ESP8266
Home Automation,control home devices using wifi variation 423,IoT,Motion Sensor|Ultrasonic Sensor,None,ESP8266,Motion Sensor|Ultrasonic Sensor|ESP8266
Home Automation,control home devices using wifi variation 424,IoT,LDR Sensor,None,ESP32,LDR Sensor|ESP32
Smart Parking,detect parking availability variation 425,IoT,LDR Sensor,None,ESP8266,LDR Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 426,IoT,Soil Sensor|Temperature Sensor,LED,ESP32,Soil Sensor|Temperature Sensor|LED|ESP32
Smart Irrigation,automatic watering using soil moisture variation 427,IoT,Ultrasonic Sensor,Water Pump,Arduino,Ultrasonic Sensor|Water Pump|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 428,Robotics,IR Sensor|Humidity Sensor,LED,Arduino,IR Sensor|Humidity Sensor|LED|Arduino
Home Automation,control home devices using wifi variation 429,IoT,Soil Sensor,Relay,ESP32,Soil Sensor|Relay|ESP32
Weather Monitoring,monitor temperature and humidity variation 430,IoT,Temperature Sensor|Flame Sensor,Motor Driver,ESP8266,Temperature Sensor|Flame Sensor|Motor Driver|ESP8266
Water Level Indicator,monitor water level in tank variation 431,IoT,Motion Sensor,None,ESP32,Motion Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 432,Robotics,IR Sensor|Flame Sensor,LED,ESP8266,IR Sensor|Flame Sensor|LED|ESP8266
Home Automation,control home devices using wifi variation 433,IoT,Humidity Sensor|Flame Sensor,Servo Motor,ESP8266,Humidity Sensor|Flame Sensor|Servo Motor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 434,IoT,Ultrasonic Sensor|LDR Sensor,None,ESP32,Ultrasonic Sensor|LDR Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 435,IoT,Humidity Sensor|Soil Sensor,None,ESP8266,Humidity Sensor|Soil Sensor|ESP8266
Smart Lighting,automatic lighting control variation 436,IoT,LDR Sensor|Gas Sensor,Motor Driver,Arduino,LDR Sensor|Gas Sensor|Motor Driver|Arduino
Smart Security System,detect intruders using sensors variation 437,IoT,Motion Sensor|Gas Sensor,None,ESP32,Motion Sensor|Gas Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 438,IoT,Flame Sensor,None,ESP8266,Flame Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 439,IoT,Temperature Sensor|Motion Sensor,None,ESP32,Temperature Sensor|Motion Sensor|ESP32
Smart Farming,monitor agriculture conditions variation 440,IoT,Temperature Sensor|IR Sensor,None,Arduino,Temperature Sensor|IR Sensor|Arduino
Air Quality Monitoring,monitor pollution levels variation 441,IoT,Flame Sensor|Motion Sensor,Water Pump,ESP8266,Flame Sensor|Motion Sensor|Water Pump|ESP8266
Smart Lighting,automatic lighting control variation 442,IoT,Temperature Sensor,Motor Driver,Arduino,Temperature Sensor|Motor Driver|Arduino
Fire Detection,detect fire using flame sensor variation 443,IoT,Gas Sensor,Water Pump,ESP32,Gas Sensor|Water Pump|ESP32
Water Level Indicator,monitor water level in tank variation 444,IoT,Gas Sensor|Ultrasonic Sensor,None,ESP32,Gas Sensor|Ultrasonic Sensor|ESP32
Air Quality Monitoring,monitor pollution levels variation 445,IoT,Flame Sensor|Gas Sensor,Valve,Arduino,Flame Sensor|Gas Sensor|Valve|Arduino
Water Level Indicator,monitor water level in tank variation 446,IoT,Ultrasonic Sensor,Motor Driver,Arduino,Ultrasonic Sensor|Motor Driver|Arduino
Air Quality Monitoring,monitor pollution levels variation 447,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Air Quality Monitoring,monitor pollution levels variation 448,IoT,Ultrasonic Sensor|Motion Sensor,LED,Arduino,Ultrasonic Sensor|Motion Sensor|LED|Arduino
Smart Security System,detect intruders using sensors variation 449,IoT,Soil Sensor,Motor Driver,ESP8266,Soil Sensor|Motor Driver|ESP8266
Home Automation,control home devices using wifi variation 450,IoT,IR Sensor|Flame Sensor,Water Pump,ESP8266,IR Sensor|Flame Sensor|Water Pump|ESP8266
Smart Security System,detect intruders using sensors variation 451,IoT,LDR Sensor,Relay,ESP8266,LDR Sensor|Relay|ESP8266
Smart Parking,detect parking availability variation 452,IoT,Motion Sensor|Ultrasonic Sensor,None,Arduino,Motion Sensor|Ultrasonic Sensor|Arduino
Smart Parking,detect parking availability variation 453,IoT,IR Sensor,None,ESP32,IR Sensor|ESP32
Smart Security System,detect intruders using sensors variation 454,IoT,Flame Sensor|Temperature Sensor,None,ESP32,Flame Sensor|Temperature Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 455,IoT,Flame Sensor|IR Sensor,None,ESP8266,Flame Sensor|IR Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 456,IoT,Gas Sensor|Ultrasonic Sensor,Valve,ESP32,Gas Sensor|Ultrasonic Sensor|Valve|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 457,Robotics,IR Sensor|Ultrasonic Sensor,None,ESP8266,IR Sensor|Ultrasonic Sensor|ESP8266
Air Quality Monitoring,monitor pollution levels variation 458,IoT,Ultrasonic Sensor|LDR Sensor,None,ESP32,Ultrasonic Sensor|LDR Sensor|ESP32
Smart Farming,monitor agriculture conditions variation 459,IoT,Ultrasonic Sensor|LDR Sensor,Water Pump,Arduino,Ultrasonic Sensor|LDR Sensor|Water Pump|Arduino
Home Automation,control home devices using wifi variation 460,IoT,Soil Sensor|IR Sensor,Servo Motor,Arduino,Soil Sensor|IR Sensor|Servo Motor|Arduino
Home Automation,control home devices using wifi variation 461,IoT,Gas Sensor,LED,Arduino,Gas Sensor|LED|Arduino
Smart Lighting,automatic lighting control variation 462,IoT,Temperature Sensor,Relay,ESP32,Temperature Sensor|Relay|ESP32
Water Level Indicator,monitor water level in tank variation 463,IoT,Motion Sensor,Servo Motor,ESP8266,Motion Sensor|Servo Motor|ESP8266
Air Quality Monitoring,monitor pollution levels variation 464,IoT,Motion Sensor|IR Sensor,None,ESP8266,Motion Sensor|IR Sensor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 465,Robotics,Gas Sensor|Soil Sensor,LED,Arduino,Gas Sensor|Soil Sensor|LED|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 466,Robotics,Temperature Sensor,None,Arduino,Temperature Sensor|Arduino
Smart Farming,monitor agriculture conditions variation 467,IoT,Motion Sensor|IR Sensor,None,ESP8266,Motion Sensor|IR Sensor|ESP8266
Smart Lighting,automatic lighting control variation 468,IoT,IR Sensor,Buzzer,ESP8266,IR Sensor|Buzzer|ESP8266
Fire Detection,detect fire using flame sensor variation 469,IoT,Flame Sensor|Motion Sensor,Motor Driver,ESP8266,Flame Sensor|Motion Sensor|Motor Driver|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 470,Robotics,Gas Sensor,None,Arduino,Gas Sensor|Arduino
Weather Monitoring,monitor temperature and humidity variation 471,IoT,Motion Sensor,None,ESP8266,Motion Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 472,IoT,Flame Sensor|Temperature Sensor,LED,ESP32,Flame Sensor|Temperature Sensor|LED|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 473,Robotics,Motion Sensor|Gas Sensor,Water Pump,ESP8266,Motion Sensor|Gas Sensor|Water Pump|ESP8266
Smart Parking,detect parking availability variation 474,IoT,Ultrasonic Sensor,Water Pump,ESP32,Ultrasonic Sensor|Water Pump|ESP32
Smart Lighting,automatic lighting control variation 475,IoT,LDR Sensor|IR Sensor,None,Arduino,LDR Sensor|IR Sensor|Arduino
Smart Parking,detect parking availability variation 476,IoT,Temperature Sensor,None,ESP8266,Temperature Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 477,IoT,LDR Sensor|Temperature Sensor,Buzzer,ESP8266,LDR Sensor|Temperature Sensor|Buzzer|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 478,Robotics,Motion Sensor|LDR Sensor,Servo Motor,ESP8266,Motion Sensor|LDR Sensor|Servo Motor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 479,Robotics,Motion Sensor,None,ESP32,Motion Sensor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 480,IoT,Humidity Sensor,Water Pump,Arduino,Humidity Sensor|Water Pump|Arduino
Smart Security System,detect intruders using sensors variation 481,IoT,Humidity Sensor,None,ESP32,Humidity Sensor|ESP32
Smart Parking,detect parking availability variation 482,IoT,LDR Sensor,None,ESP32,LDR Sensor|ESP32
Water Level Indicator,monitor water level in tank variation 483,IoT,IR Sensor,None,Arduino,IR Sensor|Arduino
Smart Lighting,automatic lighting control variation 484,IoT,Temperature Sensor,None,Arduino,Temperature Sensor|Arduino
Smart Farming,monitor agriculture conditions variation 485,IoT,Gas Sensor|Humidity Sensor,None,ESP32,Gas Sensor|Humidity Sensor|ESP32
Smart Security System,detect intruders using sensors variation 486,IoT,Humidity Sensor,None,ESP8266,Humidity Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 487,IoT,Gas Sensor|Humidity Sensor,None,ESP8266,Gas Sensor|Humidity Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 488,IoT,Motion Sensor|Flame Sensor,None,ESP8266,Motion Sensor|Flame Sensor|ESP8266
Home Automation,control home devices using wifi variation 489,IoT,Ultrasonic Sensor|Temperature Sensor,None,ESP8266,Ultrasonic Sensor|Temperature Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 490,IoT,Temperature Sensor,Relay,Arduino,Temperature Sensor|Relay|Arduino
Water Level Indicator,monitor water level in tank variation 491,IoT,Ultrasonic Sensor,Relay,ESP32,Ultrasonic Sensor|Relay|ESP32
Smart Irrigation,automatic watering using soil moisture variation 492,IoT,Ultrasonic Sensor,Motor Driver,Arduino,Ultrasonic Sensor|Motor Driver|Arduino
Home Automation,control home devices using wifi variation 493,IoT,Humidity Sensor|Soil Sensor,None,ESP8266,Humidity Sensor|Soil Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 494,IoT,Motion Sensor|Flame Sensor,LED,ESP8266,Motion Sensor|Flame Sensor|LED|ESP8266
Smart Farming,monitor agriculture conditions variation 495,IoT,Ultrasonic Sensor|LDR Sensor,Buzzer,ESP8266,Ultrasonic Sensor|LDR Sensor|Buzzer|ESP8266
Air Quality Monitoring,monitor pollution levels variation 496,IoT,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 497,IoT,Ultrasonic Sensor|Flame Sensor,Water Pump,Arduino,Ultrasonic Sensor|Flame Sensor|Water Pump|Arduino
Line Following Robot,robot follows path using IR sensors variation 498,Robotics,Temperature Sensor,None,ESP32,Temperature Sensor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 499,IoT,IR Sensor,LED,ESP32,IR Sensor|LED|ESP32
Line Following Robot,robot follows path using IR sensors variation 500,Robotics,Temperature Sensor,None,ESP32,Temperature Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 501,IoT,Gas Sensor,Motor Driver,Arduino,Gas Sensor|Motor Driver|Arduino
Smart Parking,detect parking availability variation 502,IoT,Motion Sensor|Temperature Sensor,None,Arduino,Motion Sensor|Temperature Sensor|Arduino
Smart Security System,detect intruders using sensors variation 503,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 504,Robotics,Ultrasonic Sensor|Temperature Sensor,Servo Motor,ESP8266,Ultrasonic Sensor|Temperature Sensor|Servo Motor|ESP8266
Smart Farming,monitor agriculture conditions variation 505,IoT,Humidity Sensor|Flame Sensor,LED,ESP8266,Humidity Sensor|Flame Sensor|LED|ESP8266
Fire Detection,detect fire using flame sensor variation 506,IoT,Humidity Sensor,Relay,ESP32,Humidity Sensor|Relay|ESP32
Air Quality Monitoring,monitor pollution levels variation 507,IoT,IR Sensor|Motion Sensor,Relay,Arduino,IR Sensor|Motion Sensor|Relay|Arduino
Fire Detection,detect fire using flame sensor variation 508,IoT,Humidity Sensor,Buzzer,Arduino,Humidity Sensor|Buzzer|Arduino
Weather Monitoring,monitor temperature and humidity variation 509,IoT,Motion Sensor,None,ESP32,Motion Sensor|ESP32
Home Automation,control home devices using wifi variation 510,IoT,Temperature Sensor|Gas Sensor,Relay,ESP32,Temperature Sensor|Gas Sensor|Relay|ESP32
Weather Monitoring,monitor temperature and humidity variation 511,IoT,IR Sensor,None,Arduino,IR Sensor|Arduino
Smart Farming,monitor agriculture conditions variation 512,IoT,Gas Sensor|Ultrasonic Sensor,Water Pump,ESP8266,Gas Sensor|Ultrasonic Sensor|Water Pump|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 513,Robotics,Temperature Sensor,None,ESP32,Temperature Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 514,IoT,Temperature Sensor,Motor Driver,ESP8266,Temperature Sensor|Motor Driver|ESP8266
Smart Lighting,automatic lighting control variation 515,IoT,Humidity Sensor,Servo Motor,ESP32,Humidity Sensor|Servo Motor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 516,Robotics,Humidity Sensor,None,ESP32,Humidity Sensor|ESP32
Smart Parking,detect parking availability variation 517,IoT,Flame Sensor|Motion Sensor,Motor Driver,Arduino,Flame Sensor|Motion Sensor|Motor Driver|Arduino
Smart Lighting,automatic lighting control variation 518,IoT,Soil Sensor|Flame Sensor,None,ESP8266,Soil Sensor|Flame Sensor|ESP8266
Smart Lighting,automatic lighting control variation 519,IoT,Temperature Sensor|Motion Sensor,LED,Arduino,Temperature Sensor|Motion Sensor|LED|Arduino
Weather Monitoring,monitor temperature and humidity variation 520,IoT,IR Sensor|Humidity Sensor,Servo Motor,ESP32,IR Sensor|Humidity Sensor|Servo Motor|ESP32
Line Following Robot,robot follows path using IR sensors variation 521,Robotics,IR Sensor|Flame Sensor,None,ESP8266,IR Sensor|Flame Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 522,IoT,Gas Sensor|Flame Sensor,None,ESP8266,Gas Sensor|Flame Sensor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 523,Robotics,Motion Sensor|Soil Sensor,None,ESP32,Motion Sensor|Soil Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 524,IoT,Soil Sensor,Water Pump,Arduino,Soil Sensor|Water Pump|Arduino
Line Following Robot,robot follows path using IR sensors variation 525,Robotics,Gas Sensor|Humidity Sensor,Servo Motor,Arduino,Gas Sensor|Humidity Sensor|Servo Motor|Arduino
Weather Monitoring,monitor temperature and humidity variation 526,IoT,Ultrasonic Sensor|LDR Sensor,Relay,ESP8266,Ultrasonic Sensor|LDR Sensor|Relay|ESP8266
Air Quality Monitoring,monitor pollution levels variation 527,IoT,Ultrasonic Sensor,Valve,ESP8266,Ultrasonic Sensor|Valve|ESP8266
Smart Farming,monitor agriculture conditions variation 528,IoT,Ultrasonic Sensor,Valve,Arduino,Ultrasonic Sensor|Valve|Arduino
Home Automation,control home devices using wifi variation 529,IoT,Temperature Sensor|Flame Sensor,None,ESP32,Temperature Sensor|Flame Sensor|ESP32
Smart Lighting,automatic lighting control variation 530,IoT,Flame Sensor|Gas Sensor,Valve,ESP32,Flame Sensor|Gas Sensor|Valve|ESP32
Smart Security System,detect intruders using sensors variation 531,IoT,Humidity Sensor,None,Arduino,Humidity Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 532,IoT,Ultrasonic Sensor|Gas Sensor,None,ESP32,Ultrasonic Sensor|Gas Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 533,IoT,Soil Sensor,LED,Arduino,Soil Sensor|LED|Arduino
Smart Irrigation,automatic watering using soil moisture variation 534,IoT,Flame Sensor|Soil Sensor,Valve,ESP8266,Flame Sensor|Soil Sensor|Valve|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 535,Robotics,LDR Sensor,Servo Motor,Arduino,LDR Sensor|Servo Motor|Arduino
Smart Security System,detect intruders using sensors variation 536,IoT,Temperature Sensor,None,ESP32,Temperature Sensor|ESP32
Water Level Indicator,monitor water level in tank variation 537,IoT,IR Sensor|Ultrasonic Sensor,Relay,Arduino,IR Sensor|Ultrasonic Sensor|Relay|Arduino
Smart Lighting,automatic lighting control variation 538,IoT,Temperature Sensor,Relay,Arduino,Temperature Sensor|Relay|Arduino
Air Quality Monitoring,monitor pollution levels variation 539,IoT,Flame Sensor|Ultrasonic Sensor,Valve,Arduino,Flame Sensor|Ultrasonic Sensor|Valve|Arduino
Smart Irrigation,automatic watering using soil moisture variation 540,IoT,Soil Sensor,Buzzer,ESP8266,Soil Sensor|Buzzer|ESP8266
Smart Lighting,automatic lighting control variation 541,IoT,Motion Sensor,LED,ESP32,Motion Sensor|LED|ESP32
Home Automation,control home devices using wifi variation 542,IoT,Soil Sensor|Motion Sensor,LED,ESP8266,Soil Sensor|Motion Sensor|LED|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 543,IoT,IR Sensor,Relay,Arduino,IR Sensor|Relay|Arduino
Water Level Indicator,monitor water level in tank variation 544,IoT,Ultrasonic Sensor,Relay,ESP8266,Ultrasonic Sensor|Relay|ESP8266
Weather Monitoring,monitor temperature and humidity variation 545,IoT,IR Sensor|Flame Sensor,None,Arduino,IR Sensor|Flame Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 546,Robotics,Temperature Sensor,None,ESP8266,Temperature Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 547,IoT,Humidity Sensor,Valve,ESP8266,Humidity Sensor|Valve|ESP8266
Smart Lighting,automatic lighting control variation 548,IoT,Temperature Sensor|Gas Sensor,None,Arduino,Temperature Sensor|Gas Sensor|Arduino
Weather Monitoring,monitor temperature and humidity variation 549,IoT,Soil Sensor|Gas Sensor,None,ESP32,Soil Sensor|Gas Sensor|ESP32
Water Level Indicator,monitor water level in tank variation 550,IoT,LDR Sensor|Gas Sensor,None,ESP8266,LDR Sensor|Gas Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 551,Robotics,LDR Sensor|Flame Sensor,Motor Driver,ESP8266,LDR Sensor|Flame Sensor|Motor Driver|ESP8266
Smart Farming,monitor agriculture conditions variation 552,IoT,Gas Sensor,LED,ESP8266,Gas Sensor|LED|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 553,IoT,Motion Sensor,None,ESP32,Motion Sensor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 554,IoT,LDR Sensor,None,ESP8266,LDR Sensor|ESP8266
Water Level Indicator,monitor water level in tank variation 555,IoT,Ultrasonic Sensor,Water Pump,Arduino,Ultrasonic Sensor|Water Pump|Arduino
Smart Parking,detect parking availability variation 556,IoT,Motion Sensor,None,ESP8266,Motion Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 557,Robotics,Ultrasonic Sensor|Temperature Sensor,LED,ESP8266,Ultrasonic Sensor|Temperature Sensor|LED|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 558,Robotics,IR Sensor,Servo Motor,Arduino,IR Sensor|Servo Motor|Arduino
Home Automation,control home devices using wifi variation 559,IoT,Temperature Sensor,Water Pump,ESP32,Temperature Sensor|Water Pump|ESP32
Smart Lighting,automatic lighting control variation 560,IoT,Humidity Sensor|Ultrasonic Sensor,LED,Arduino,Humidity Sensor|Ultrasonic Sensor|LED|Arduino
Smart Parking,detect parking availability variation 561,IoT,Ultrasonic Sensor|LDR Sensor,None,ESP32,Ultrasonic Sensor|LDR Sensor|ESP32
Smart Parking,detect parking availability variation 562,IoT,Ultrasonic Sensor|Soil Sensor,None,ESP8266,Ultrasonic Sensor|Soil Sensor|ESP8266
Home Automation,control home devices using wifi variation 563,IoT,Soil Sensor,None,ESP8266,Soil Sensor|ESP8266
Water Level Indicator,monitor water level in tank variation 564,IoT,Motion Sensor|IR Sensor,Valve,Arduino,Motion Sensor|IR Sensor|Valve|Arduino
Home Automation,control home devices using wifi variation 565,IoT,Gas Sensor,LED,Arduino,Gas Sensor|LED|Arduino
Smart Lighting,automatic lighting control variation 566,IoT,Soil Sensor|Temperature Sensor,Valve,ESP8266,Soil Sensor|Temperature Sensor|Valve|ESP8266
Smart Parking,detect parking availability variation 567,IoT,Gas Sensor|Flame Sensor,Buzzer,ESP8266,Gas Sensor|Flame Sensor|Buzzer|ESP8266
Water Level Indicator,monitor water level in tank variation 568,IoT,Temperature Sensor,Buzzer,ESP8266,Temperature Sensor|Buzzer|ESP8266
Fire Detection,detect fire using flame sensor variation 569,IoT,Flame Sensor,None,ESP32,Flame Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 570,IoT,IR Sensor|Flame Sensor,Motor Driver,ESP32,IR Sensor|Flame Sensor|Motor Driver|ESP32
Line Following Robot,robot follows path using IR sensors variation 571,Robotics,Temperature Sensor,None,ESP32,Temperature Sensor|ESP32
Smart Lighting,automatic lighting control variation 572,IoT,Flame Sensor,None,ESP32,Flame Sensor|ESP32
Air Quality Monitoring,monitor pollution levels variation 573,IoT,Temperature Sensor,Valve,ESP8266,Temperature Sensor|Valve|ESP8266
Line Following Robot,robot follows path using IR sensors variation 574,Robotics,Soil Sensor,None,ESP32,Soil Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 575,Robotics,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Home Automation,control home devices using wifi variation 576,IoT,Gas Sensor|Flame Sensor,Relay,ESP8266,Gas Sensor|Flame Sensor|Relay|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 577,IoT,LDR Sensor|IR Sensor,None,Arduino,LDR Sensor|IR Sensor|Arduino
Smart Lighting,automatic lighting control variation 578,IoT,Flame Sensor|LDR Sensor,None,ESP8266,Flame Sensor|LDR Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 579,Robotics,Humidity Sensor,None,Arduino,Humidity Sensor|Arduino
Home Automation,control home devices using wifi variation 580,IoT,IR Sensor|Ultrasonic Sensor,None,ESP8266,IR Sensor|Ultrasonic Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 581,IoT,Motion Sensor|Gas Sensor,Valve,Arduino,Motion Sensor|Gas Sensor|Valve|Arduino
Water Level Indicator,monitor water level in tank variation 582,IoT,Flame Sensor,Buzzer,Arduino,Flame Sensor|Buzzer|Arduino
Weather Monitoring,monitor temperature and humidity variation 583,IoT,Temperature Sensor|Humidity Sensor,Valve,Arduino,Temperature Sensor|Humidity Sensor|Valve|Arduino
Line Following Robot,robot follows path using IR sensors variation 584,Robotics,LDR Sensor|Soil Sensor,Servo Motor,ESP32,LDR Sensor|Soil Sensor|Servo Motor|ESP32
Smart Parking,detect parking availability variation 585,IoT,Humidity Sensor|Temperature Sensor,Servo Motor,ESP32,Humidity Sensor|Temperature Sensor|Servo Motor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 586,Robotics,Soil Sensor|Flame Sensor,LED,Arduino,Soil Sensor|Flame Sensor|LED|Arduino
Fire Detection,detect fire using flame sensor variation 587,IoT,Motion Sensor,None,Arduino,Motion Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 588,Robotics,Soil Sensor|Temperature Sensor,None,ESP32,Soil Sensor|Temperature Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 589,Robotics,Soil Sensor,None,ESP8266,Soil Sensor|ESP8266
Water Level Indicator,monitor water level in tank variation 590,IoT,Soil Sensor,None,ESP32,Soil Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 591,IoT,Soil Sensor,None,ESP8266,Soil Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 592,IoT,IR Sensor,Motor Driver,ESP8266,IR Sensor|Motor Driver|ESP8266
Smart Farming,monitor agriculture conditions variation 593,IoT,LDR Sensor,Valve,ESP8266,LDR Sensor|Valve|ESP8266
Smart Lighting,automatic lighting control variation 594,IoT,Soil Sensor|Temperature Sensor,Servo Motor,ESP32,Soil Sensor|Temperature Sensor|Servo Motor|ESP32
Fire Detection,detect fire using flame sensor variation 595,IoT,Temperature Sensor,Water Pump,Arduino,Temperature Sensor|Water Pump|Arduino
Smart Irrigation,automatic watering using soil moisture variation 596,IoT,Flame Sensor|Ultrasonic Sensor,Relay,ESP8266,Flame Sensor|Ultrasonic Sensor|Relay|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 597,IoT,Temperature Sensor|LDR Sensor,Motor Driver,Arduino,Temperature Sensor|LDR Sensor|Motor Driver|Arduino
Smart Security System,detect intruders using sensors variation 598,IoT,Flame Sensor,Valve,ESP32,Flame Sensor|Valve|ESP32
Line Following Robot,robot follows path using IR sensors variation 599,Robotics,IR Sensor,Water Pump,Arduino,IR Sensor|Water Pump|Arduino
